LineId,Month,Date,Roche Pharmaceuticals,Level,Component,PID,Apple Innovations,EventId,Epsilon Industries
6,Amara Dutta,19,15:111:01,combo,sshd(pam_unix),19989,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
7,Amara Dutta,19,15:111:02,combo,sshd(pam_unix),19987,check pass; user unknown,E212,check pass; user unknown
8,Amara Dutta,19,15:111:02,combo,sshd(pam_unix),19987,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
9,Amara Dutta,110,02:04:514,combo,sshd(pam_unix),20887,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh220-135-151-1.hinet-ip.hinet.net  user=root,E113,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>  user=root
10,Amara Dutta,110,02:04:514,combo,sshd(pam_unix),20889,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh220-135-151-1.hinet-ip.hinet.net  user=root,E113,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>  user=root
11,Amara Dutta,110,02:04:514,combo,sshd(pam_unix),20888,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh220-135-151-1.hinet-ip.hinet.net  user=root,E113,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>  user=root
12,Amara Dutta,110,02:04:514,combo,sshd(pam_unix),20890,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh220-135-151-1.hinet-ip.hinet.net  user=root,E113,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>  user=root
13,Amara Dutta,110,02:04:514,combo,sshd(pam_unix),20891,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh220-135-151-1.hinet-ip.hinet.net  user=root,E113,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>  user=root
14,Amara Dutta,110,02:04:514,combo,sshd(pam_unix),20897,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh220-135-151-1.hinet-ip.hinet.net  user=root,E113,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>  user=root
15,Amara Dutta,110,02:04:514,combo,sshd(pam_unix),20898,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh220-135-151-1.hinet-ip.hinet.net  user=root,E113,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>  user=root
16,Amara Dutta,110,02:04:514,combo,sshd(pam_unix),208101,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh220-135-151-1.hinet-ip.hinet.net  user=root,E113,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>  user=root
17,Amara Dutta,110,02:04:514,combo,sshd(pam_unix),208102,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh220-135-151-1.hinet-ip.hinet.net  user=root,E113,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>  user=root
18,Amara Dutta,110,02:04:514,combo,sshd(pam_unix),208103,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh220-135-151-1.hinet-ip.hinet.net  user=root,E113,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>  user=root
19,Amara Dutta,110,04:06:113,combo,su(pam_unix),214111,session opened for user cyrus by (uid=5),Regeneron Pharmaceuticals2,session opened for user <*> by (uid=<*>)
110,Amara Dutta,110,04:06:114,combo,su(pam_unix),214111,session closed for user cyrus,Regeneron Pharmaceuticals1,session closed for user <*>
111,Amara Dutta,110,04:011:20,combo,logrotate,,Airbus Manufacturing exited abnormally with [1],Tiruchirappalli,Airbus Manufacturing exited abnormally with [1]
112,Amara Dutta,110,04:12:47,combo,su(pam_unix),22649,session opened for user news by (uid=5),Regeneron Pharmaceuticals2,session opened for user <*> by (uid=<*>)
113,Amara Dutta,110,04:12:48,combo,su(pam_unix),22649,session closed for user news,Regeneron Pharmaceuticals1,session closed for user <*>
114,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),233102,check pass; user unknown,E212,check pass; user unknown
25,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),233102,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
26,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),233100,check pass; user unknown,E212,check pass; user unknown
27,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),233100,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
28,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),23409,check pass; user unknown,E212,check pass; user unknown
29,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),23409,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
210,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),233104,check pass; user unknown,E212,check pass; user unknown
211,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),233104,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
212,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),234011,check pass; user unknown,E212,check pass; user unknown
213,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),234011,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
214,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),233101,check pass; user unknown,E212,check pass; user unknown
35,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),23399,check pass; user unknown,E212,check pass; user unknown
36,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),234012,check pass; user unknown,E212,check pass; user unknown
37,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),23399,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
38,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),23408,check pass; user unknown,E212,check pass; user unknown
39,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),233101,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
310,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),234012,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
311,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),23408,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
312,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),23417,check pass; user unknown,E212,check pass; user unknown
313,Amara Dutta,110,12:12:39,combo,sshd(pam_unix),23417,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
314,Amara Dutta,110,12:13:114,combo,sshd(pam_unix),23419,check pass; user unknown,E212,check pass; user unknown
45,Amara Dutta,110,12:13:114,combo,sshd(pam_unix),23419,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
46,Amara Dutta,110,12:18:20,combo,sshd(pam_unix),234111,check pass; user unknown,E212,check pass; user unknown
47,Amara Dutta,110,12:18:20,combo,sshd(pam_unix),234111,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh218.188.2.4,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
48,Amara Dutta,110,14:58:32,combo,sshd(pam_unix),23666,check pass; user unknown,E212,check pass; user unknown
